ء,HAMZA
آ,ALEF_MADDA_ABOVE
أ,ALEF_HAMZA_ABOVE
ؤ,WAW_HAMZA_ABOVE
إ,ALEF_HAMZA_BELOW
ئ,YEH_HAMZA_ABOVE
ا,ALEF
ب,BEH
ة,TEH_MARBUTA
ت,TEH
ث,THEH
ج,JEEM
ح,HAH
خ,KHAH
د,DAL
ذ,THAL
ر,REH
ز,ZAIN
س,SEEN
ش,SHEEN
ص,SAD
ض,DAD
ط,TAH
ظ,ZAH
ع,AIN
غ,GHAIN
 ,SPACE
ف,FEH
ق,QAF
ك,KAF
ل,LAM
م,MEEM
ن,NOON
ه,HEH
و,WAW
ى,ALEF_MAKSURA
ي,YEH
لا,LAM_ALEF
لأ,LAM_ALEF_HAMZA_ABOVE
لآ,LAM_ALEF_Madda_ABOVE
لإ,LAM_ALEF_HAMZA_BELOW
0,ZERO
1,ONE
2,TWO
3,THREE
4,FOUR
5,FIVE
6,SIX
7,SEVEN
8,EIGHT
9,NINE
!,!
","
%,%
(,(
),)
.,.
/,/
:,:
=,=
?,?
[,[
],]
«,«
»,»
،,،
؛,؛
؟,؟
–,–
+,+
